Plant;Material ID;Groeﬂenklasse;ABCXYZ;Calc_ABCXYZ
0701;FB0122160020B;99;CZ;CCZ
0853;SS3550150M4B;91;DZ;CCZ
0490;SS46M008015B;79;BZ;CCZ
3100;SS2350700Q;00;CZ;CCZ
0305;GST042403206;12;N/A;CCZ
2316;RB255009000A;;N/A;CCZ
0376;HW0576180180063;09;N/A;CCZ
3100;SS355012025Q;30;CZ;CCZ
2376;BE4401006;;N/A;CCZ
2316;HC0038120120080;10;N/A;CCZ
2316;HC054707007005F;59;N/A;CCZ
0490;SDD110020BBPKBM;12;N/A;ABZ
0490;KRN320040013CRE;;N/A;CCZ
0441;FZBPE257616500;00;CZ;CCZ
0613;SS35M0060CBPK;79;AY;AAY
0376;HW0576160160100;15;N/A;CCZ
0613;SCUT20200CBPK;11;AY;ABZ
0582;SS690600Q;40;CZ;BBZ
0445;TERPVCU1100321G;;N/A;CCZ
0470;KRN016003616MOE;;N/A;CCZ
0490;SS235005010B;99;CZ;CCZ
2316;HC0547250100100;59;CZ;CCZ
3110;RB658214000001;;BZ;AAZ
0162;REW44040880482X;;N/A;CCZ
0480;SS35M0150CBPK;11;BY;BBZ
0631;SS3550150M6B;94;DZ;CCZ
0490;HC0039090090030;13;CZ;CCZ
0490;SDD110200ABPK;20;CZ;CCZ
0416;GST076102902;99;CZ;CCZ
0518;SC008A3500028HH;;N/A;CCZ
0305;MPF85337FPM;;N/A;CCZ
0480;SS2350120CB;97;AX;BBY
0305;PRG03080220150C;;N/A;CCZ
0713;FLJPPR020F07;;N/A;CCZ
0490;SS35M010015BPK;94;CZ;CCZ
0613;SDD110100CBPK;19;CY;BBY
0305;HW0039150150125;06;N/A;CCZ
0631;SS35M0050CB;91;AX;AAY
0305;FGN0761071F8;;N/A;CCZ
2316;DW26700250520CH;;N/A;CCZ
2316;HC0149060030025;07;N/A;CCZ
0581;XHDM0009527;;N/A;CCZ
0490;SS235005020BPK;93;CZ;CCZ
0620;BEKG12530;;N/A;CCZ
0830;REPVCU0630501G;;CZ;CCZ
0620;SVF2G2505006AW2;;N/A;CCZ
0713;K1ACCGF;;N/A;CCZ
0305;HW0576160090125;14;N/A;CCZ
0305;KRN323914223C1E;;N/A;CCZ
0842;HC0149160080050;99;N/A;CCZ
0441;FZBPM800256000;50;DZ;CCZ
0305;GST2191045GVG;00;N/A;CCZ
0305;GST133008001;08;N/A;CCZ
2376;HW057640030016G;14;CZ;CCZ
0400;SB0715025B;;N/A;CCZ
0460;KRN298590013CRE;;N/A;CCZ
0305;HC00390800303BL;99;N/A;CCZ
2760;EN04826027704A5;;CZ;AAZ
0625;SX400030020QBL;40;BZ;CCZ
0377;KRN021303616MOD;;N/A;CCZ
0376;DW07610200355;;N/A;CCZ
2376;DW3180028035502;;CZ;CCZ
0581;XHDM0007418;;N/A;CCZ
0305;HWSG50160160100;09;N/A;CCZ
2641;HW057606004029G;09;N/A;CCZ
0620;GR00350320WBSE4;;CZ;CCZ
0441;FZBPB251582243;10;CZ;CCZ
0376;MPC21705;;N/A;CCZ
2316;HC0547140140100;10;CZ;CCZ
0490;SCUT10080A5BPK;50;CZ;CCZ
0305;PR931440070LC05;;N/A;CCZ
0490;SS35M0160CBPK;30;BZ;CCZ
2316;HC0149140080063;14;N/A;CCZ
0305;PRN0480035EC;;N/A;CCZ
0613;SS2350060BBPK;24;AY;AAY
2316;HC0149120060060;06;N/A;CCZ
0163;PSS575400200A10;;N/A;CCZ
0613;SCORB003015B;79;AY;AAY
0625;SS355010015B;10;CZ;CCZ
0613;WFB00380300004;11;AY;AAY
0713;HC0547140060040;99;N/A;CCZ
0162;TEW430720420B;;N/A;CCZ
0163;SB60820150PE;;CZ;CCZ
0490;SS235015012B;49;CZ;CCZ
2376;HL446223601500;;N/A;CCZ
3100;HC0039050050050;15;AY;AAX
0400;FB0122080010B;00;CZ;CCZ
0490;SS2350150BB;89;BZ;CCZ
0853;GST026902305;99;CZ;CCZ
0490;CODD1100401000;89;N/A;CCZ
0441;FZBPB251406600E;45;CZ;CCZ
2316;RB057037000001;;N/A;CCZ
0305;CVBGEST12541SF;;N/A;CCZ
0830;SS3550150B;11;CZ;CCZ
2316;HC0149160080050;09;N/A;CCZ
0490;COS23500301500P;96;N/A;CCZ
0490;SD240015012BPK;12;CZ;CCZ
2316;HC0547080080030;07;N/A;CCZ
0460;KRN038010013CRE;;N/A;CCZ
0853;KRN044505610CRE;;N/A;CCZ
0830;FB0553150050;;N/A;CCZ
0376;HW0039050050060;08;N/A;CCZ
0305;HC0547140060060;08;N/A;CCZ
0830;SOPE1E315G1;;N/A;CCZ
0860;HC0039050050030;06;AY;AAY
0460;HC0149140080040;12;CZ;CCZ
0416;KRN152408013CRE;;N/A;CCZ
0316;KRN0213032D;;N/A;CCZ
0520;HC0547180180100;09;CZ;CCZ
0305;HW057650020016G;14;N/A;CCZ
0490;GST2191032;99;N/A;CCZ
0400;ADPVDF04003223G;;N/A;CCZ
0490;SS2350080BBPK;89;BY;CBY
0490;SS35M020015Q;14;BZ;CCZ
0490;COS35M00401250;25;N/A;CCZ
0460;KRN457036013CRE;;N/A;CCZ
0701;K1ACCHGF;;N/A;CCZ
0162;EN03340063506A5;;N/A;CCZ
0581;KRN020003216MOE;;N/A;CCZ
0828;KRN267060013CRE;;N/A;CCZ
2316;NW159004505;;CZ;CCZ
2316;HW0576120120071;04;CZ;CCZ
0410;HC0547110110060;00;BY;ABZ
0860;SS3550030CB;95;AY;AAY
0410;HC0547050050040;12;AZ;AAY
0305;HC003907005050V;10;N/A;CCZ
3100;WFB05770400HEAM;06;AY;AAZ
0305;HW0039260140142;11;N/A;CCZ
0677;RTPVCU01601805;;N/A;CCZ
2316;SH120120071460;06;N/A;CCZ
0376;LTG1143036HD05;;N/A;CCZ
3100;WFB00380240005;19;AX;BBZ
0713;HC0149080080056;04;N/A;CCZ
0490;SCUT10050CBPKLD;49;N/A;CCZ
3100;IB05770100IPEAR;08;BZ;ABZ
0162;PCL43011143MSNO;;N/A;CCZ
2316;HC054712012008F;14;N/A;CCZ
0441;FZBPK453918200;30;CZ;CCZ
0305;HC0038200120040;99;N/A;CCZ
0305;HW057605005060A;04;N/A;CCZ
0641;HC0547150100050;08;N/A;CCZ
0441;FZBPB251217500E;00;AY;CCZ
0316;MPC23708FPM;;CZ;CCZ
0490;SDC011251024GD;;CZ;CCZ
0411;KRN177828013CRE;;N/A;CCZ
0487;KRN082503213CRE;;N/A;CCZ
0305;SH1001000633553;15;N/A;CCZ
0305;GST2730080;00;N/A;CCZ
0581;KRN017203616MOE;;N/A;CCZ
0860;SS2350040AB;99;AY;BCY
0853;SS2350060C6B;94;AY;CCZ
0830;FB0122120005B;03;CZ;CCZ
3100;SS35M0040CB;10;CZ;CCZ
2641;KRN419055013CRE;;N/A;CCZ
0713;REWPPR075063C7F;;N/A;CCZ
2316;RB714908000FP;;N/A;CCZ
0641;HC0547250150080;99;N/A;CCZ
0400;S500500200L554;;N/A;CCZ
0490;SDD110020CBPKGK;97;CZ;CCZ
0581;XHDM0000301;;N/A;CCZ
0162;EN32390160041A;;N/A;CCZ
0582;X4301002006553;;CZ;CCZ
0490;SDC35008012BPK;92;N/A;CCZ
2641;HW057616016080G;06;AZ;CCZ
0701;FB0122070025B;99;CZ;CCZ
2316;ACCGARDFE1060AN;;N/A;CCZ
0520;SD2400060ABPK;95;AZ;AAZ
0853;SS3550120CB;29;AY;AAY
0641;HW0576160080063;14;N/A;CCZ
2316;GST0380032;12;N/A;CCZ
2377;KRN016003613CRE;;N/A;CCZ
0853;SS70M0120CB;24;AY;AAZ
0490;SDD110100BBPKW;49;CZ;CCZ
0377;KRN168304523C2D;;N/A;CCZ
0377;KRA11430856P22;;N/A;CCZ
0490;SS2350200B;39;N/A;CCZ
0860;KRA04220485P11;;N/A;CCZ
0613;SS35C0030CBPK;20;AX;AAX
0828;FLJ457100889101;;CZ;CCZ
2316;QC660889G;;N/A;CCZ
0480;KRA46779116;;N/A;CCZ
0412;S400H010025Q;97;N/A;CCZ
0860;KRN033703210CR1;;N/A;CCZ
0520;HC054712006004B;12;CZ;CCZ
0713;HW0576120120056;14;N/A;CCZ
3100;HC0039200100050;08;CZ;CCZ
3100;HC0039060030020;12;BY;BBY
0377;HC0547160080050;11;N/A;CCZ
0490;SD4200030BBPK;29;N/A;CCZ
0480;WFB05770160HEMR;17;AY;CCZ
0377;HW0576250250160;59;N/A;CCZ
0376;HW0576220220080;12;N/A;CCZ
2376;KRN088903613CRE;;N/A;CCZ
0641;HC0149160080050;08;N/A;CCZ
0410;SS3550150CB;95;AZ;BAY
3100;IB00380240002;03;AY;AAY
0490;COH3202991500;;BZ;CCZ
0490;GST1210040;06;CZ;CCZ
0305;HC05470800604EU;08;N/A;CCZ
0305;HC054712012008F;11;N/A;CCZ
0490;SS35M015015BPK;95;BZ;CCZ
0582;X120100180B0105;;CZ;CCZ
0305;HW057618008080B;07;N/A;CCZ
0305;HC003907004020V;15;N/A;CCZ
0163;RB60230400D;;CZ;BBZ
0613;HW0576200120160;12;CZ;CCZ
0581;XHDM0000362;;N/A;CCZ
0376;HW0576180080080;07;N/A;CCZ
0835;HL446210600800;;N/A;CCZ
0490;GST076103205;08;CZ;CCZ
0613;S400H003015Q;91;AY;AAY
0305;PRN0080015EC;;N/A;CCZ
2316;HC0547500200160;07;N/A;CCZ
0490;SS3550120AB;89;N/A;CCZ
0305;HHBBY25CR24060;;N/A;CCZ
0400;AE430102503;;CZ;CCZ
0305;ADSATH0420321;;N/A;CCZ
0377;HW0039050050032;04;N/A;CCZ
0376;SRGST3706030025;99;N/A;CCZ
3100;REWCS08807603C;;CY;BCY
0376;HW0576200120080;04;N/A;CCZ
0305;HW0576250150125;00;N/A;CCZ
0305;HC0547180100063;04;N/A;CCZ
2316;EN11430085671;;N/A;CCZ
0860;HC0039080080060;12;AY;AAZ
0305;GST060302902;08;N/A;CCZ
0376;SRG025410800063;06;N/A;CCZ
3100;FB057014000802;;CZ;BBZ
0490;SR2500030B;39;N/A;CCZ
0490;COS50M00401250;49;CZ;CCZ
0640;SS35M020025Q;93;N/A;CCZ
0853;ST1000500300BR;;N/A;CCZ
2316;HC0547120080071;09;N/A;CCZ
0305;TECLX10007045;;N/A;CCZ
0490;RB471805100;;N/A;CCZ
0376;HC0149140070050;15;N/A;CCZ
2316;GST1420016006;00;N/A;CCZ
0305;FGN031802910;;N/A;CCZ
0490;SS35M014015B;97;N/A;CCZ
2316;HC0149020020020;05;N/A;CCZ
0830;X083011969502P;;CZ;CCZ
2376;HW057622012012G;07;CZ;CCZ
0377;HW0039250150125;10;N/A;CCZ
0305;HW057622012014G;00;N/A;CCZ
2316;HC0547250250125;12;N/A;CCZ
0490;SS2350150BBPK;60;BZ;CCZ
0305;HC0149300200050;08;N/A;CCZ
0162;S430100200B04;;N/A;CCZ
0490;SS50M008012BPK;80;CZ;CCZ
0410;KRN030008816MOE;;N/A;CCZ
0490;SDD110025BBPKBM;95;CZ;BCZ
2641;HW057616009063G;11;BZ;CBZ
0305;MPD91039;;N/A;CCZ
0377;EN02130020041;;N/A;CCZ
0830;ACCHENKTI60;;CZ;CCZ
0490;SS355006015BPK;00;CZ;CCZ
0305;CASFB010;;N/A;CCZ
0376;CAW042501080KL;;N/A;CCZ
0713;TEPPH020901G;;N/A;CCZ
0840;KRN101606313CRE;;N/A;CCZ
0853;KRN267017513CRE;;N/A;CCZ
0377;HW0576300200125;04;N/A;CCZ
0840;KRN082505016MOE;;N/A;CCZ
0490;HC0149120040040;07;CZ;CCZ
0490;SS35M007015BPK;96;CZ;CCZ
0305;HC0547400100063;09;N/A;CCZ
0305;PR930220012N07;;N/A;CCZ
0490;FB457120010CT;;N/A;CCZ
0377;HC0547060040030;15;N/A;CCZ
2376;DW1080016035502;;AY;AAY
0625;S400H004025Q;99;N/A;CCZ
0305;FTRCS00400062;;N/A;CCZ
0701;UNWPPH0402C;;CZ;CCZ
0701;HCABS0320301G;;CZ;CCZ
0677;SPK23420;;N/A;CCZ
2760;TP430108008008L;;AY;ABY
3100;KRN3239071D;;BZ;BAZ
0376;HW0576120120100;08;N/A;CCZ
0631;SS70M0150CB;96;BZ;ABZ
0620;UEWPE10407G;;N/A;CCZ
2377;KRN152407116MOE;;N/A;CCZ
0701;KRN267006313CRE;;N/A;CCZ
2316;HC0039070040020;15;N/A;CCZ
0480;SS35M0100CBPK;14;AX;AAY
0860;RB713909000;;CY;BBZ
2316;RB046035000001;;N/A;CCZ
0860;SS2350080AB;94;AY;BCY
3100;HC0039040015020;08;CZ;CCZ
2316;HC01491000604BL;15;N/A;CCZ
0376;SRG025413300080;12;N/A;CCZ
0480;KRN610028016MOE;;N/A;CCZ
0490;SS235012020B;10;CZ;CCZ
2316;GST2191045PQ01;99;CZ;CCZ
0853;SS2350100AB;40;AY;AAY
0305;KRN0269040D;;N/A;CCZ
0376;HW0039180100080;05;N/A;CCZ
0163;FB608207020PE;;CZ;CCZ
0701;WSP4571032050;;CZ;CCZ
0305;HC0038070040050;11;N/A;CCZ
0377;GST033703605;08;N/A;CCZ
0620;KRN159005616MOE;;N/A;CCZ
2316;HC0547250150050;06;N/A;CCZ
0518;G0RS004A0007S;;N/A;BCZ
0490;SS70M0120CB;79;CZ;CCZ
0631;SS2350040M6B;25;BZ;CCZ
0490;SS2350050BBPK;89;AY;AAY
0377;GST048304505;99;N/A;CCZ
0853;SS2350030M4BPK;89;BZ;CCZ
0305;HW0576260140080;11;N/A;CCZ
0377;HW0039180100100;12;N/A;CCZ
0520;KRN159005013CRE;;N/A;CCZ
0613;SS2350060BB;14;BY;BBY
0490;CODD1100501000;12;CZ;CCZ
2760;RB431350000FHT;;N/A;CCZ
0305;DW16830360520CH;;N/A;CCZ
0830;TEWCS042026;;BZ;ABZ
0377;HW0039220120080;00;N/A;CCZ
2376;HW057612008080G;14;AY;AAY
0582;XHDM000A867;;CZ;CCZ
2316;HC0038020020020;11;N/A;CCZ
0490;SS35M007012B;96;N/A;CCZ
2316;KRN101612516MOE;;N/A;CCZ
0490;SS35N0070B;40;N/A;CCZ
0490;SS42M003010BPK;91;CZ;CCZ
3100;NIBTBBK0401501;;CZ;CCZ
0377;HC0547140140050;12;N/A;CCZ
0377;HC0547120080063;09;N/A;CCZ
3100;KSH050030;11;AY;CCZ
0377;BEW305013970401;;CZ;CCZ
0713;HB071803200B;;N/A;CCZ
2316;RB073702900B;;N/A;CCZ
0830;S400H075020Q;96;N/A;CCZ
0830;BELX08087S;;N/A;CCZ
0441;FZBPK450637500E;60;CZ;CCZ
0490;SDD110040CBM;95;N/A;CCZ
0582;KRN152408813CRE;;N/A;CCZ
0305;GST3556063;99;N/A;CCZ
2376;DW10800045355;;CZ;CCZ
0860;SS35M0060ABPK;93;CZ;CCZ
0672;SPK22455;;N/A;CCZ
3100;SS35M0150CBPK;12;AZ;AAZ
0377;HW0039180180063;99;N/A;CCZ
0860;KRA21910818GRB;;N/A;CCZ
0377;HW0039050030040;99;N/A;CCZ
0713;HC0149120080063;09;N/A;CCZ
2316;EN32390095206A5;;N/A;CCZ
0701;KRN193707113CRE;;N/A;CCZ
0305;C0_GST;;CZ;CCZ
0377;SRG025457000088;00;N/A;CCZ
0490;HB4404032001;;CZ;CCZ
0625;KRN133022216MOE;;N/A;CCZ
0490;HC0038100060040;15;CZ;CCZ
0490;SCUT10060BBPK;99;N/A;CCZ
0490;SS35M002510BPK;96;CZ;CCZ
0828;NIPVCU0901G;;N/A;CCZ
0305;GST0889100;99;N/A;CCZ
0490;SS235020010Q;19;CZ;CCZ
0490;SCUT1015010BPK;11;CZ;CCZ
0581;XHDM0003326;;N/A;CCZ
0701;RB055304800;;N/A;CCZ
0305;SVF061908040AS1;;N/A;CCZ
3100;SS69Q0300Q;95;AZ;BBZ
0490;SS3550080BBPK;12;CZ;CCZ
0520;RB071505500B;;CY;AAZ
0376;HC0149070070060;08;N/A;CCZ
0305;HC0039070070025;09;N/A;CCZ
0305;GST219105905;08;N/A;CCZ
2760;RT606004804;;AZ;AAZ
0582;XHDM0004372;;N/A;CCZ
0305;HW057625025050G;09;N/A;CCZ
0162;S457100300L01;;N/A;CCZ
0490;HC0039060020020;08;CZ;CCZ
3100;SS2350150CB;59;AX;AAY
0162;RB410407100B;;N/A;CCZ
2316;HC0149140060030;99;N/A;CCZ
0377;HC0149180100100;08;N/A;CCZ
0377;GST0603020;99;N/A;CCZ
2316;RB122135000F;;N/A;CCZ
0162;TEW304L125040W;;N/A;CCZ
0490;DW0540005035502;;CZ;AAZ
0377;HW0576450250080;15;N/A;CCZ
2316;PRN0430025EC;;N/A;CCZ
0713;ELWPPH160452G;;DZ;CCZ
0835;KRN419036013CRE;;N/A;CCZ
0411;KRN057016016MOE;;N/A;CCZ
0490;FB0503060050;;N/A;CCZ
0620;REPVCU0320251G;;DZ;CCZ
0713;FB0122300015B;00;N/A;CCZ
0835;SS2350080BBPK;79;AY;AAY
2316;HC0149200200080;07;N/A;CCZ
0490;SCUT2010015BPK;96;N/A;CCZ
2376;HW057612006012G;09;BZ;BCZ
0305;HC0149060040040;06;N/A;CCZ
0490;SS2350100B;40;CZ;CCZ
0416;KRN076108816MOE;;N/A;CCZ
0713;FB0122300012B;03;N/A;CCZ
0305;HW0576200150125;06;N/A;CCZ
0490;SPA38004515B;40;N/A;CCZ
0641;HW0576070070063;13;N/A;CCZ
2376;HW057606006063G;09;AY;AAY
0305;HC0039160090060;15;N/A;CCZ
0631;BEMIG050903N;;CZ;CCZ
0490;HC0038050050020;13;N/A;CCZ
2760;FB4301040006NE;;BZ;BBZ
0835;KRN076103616MOE;;N/A;CCZ
0163;S608201500G;;CZ;CBZ
0713;RB050327000;;N/A;CCZ
0490;SS235003520B;40;N/A;CCZ
0582;XHDM0007366;;CZ;CCZ
0860;RB012201400B;;CZ;BCZ
2641;HW057606004063G;59;BZ;CCZ
3100;SS235030025Q;25;BZ;CCZ
0853;SCORB003015B;90;AY;AAY
0613;SS235040030Q;60;CY;CBZ
0162;EN04240026004A;;N/A;CCZ
0853;SS2350050AB;79;AX;BBY
0376;HC0547140060060;06;N/A;CCZ
0377;SH100100080460;15;N/A;CCZ
2316;EN054000200;;N/A;CCZ
0490;GST43204990;08;CZ;CCZ
0377;HC0149140140080;07;N/A;CCZ
0552;SS35M0050CBPK;24;AX;AAY
0490;HC0149160090070;00;N/A;CCZ
0305;KRN021302316MOE;;N/A;CCZ
0672;FWNCS013970401;;CZ;CCZ
2316;KRN219132016MOE;;N/A;CCZ
0162;RBPVC120GR01;10;N/A;CCZ
0620;KRN051008013CRE;;N/A;CCZ
0641;HC0149200080040;10;N/A;CCZ
0490;HC0039250100080;11;CZ;CCZ
2316;HC0547100100060;05;N/A;CCZ
0490;SS3550140CB;89;N/A;CCZ
0713;HC0149050050030;13;N/A;CCZ
0613;SS35M0080BB;10;CY;BCY
2641;HW057645025010G;15;BZ;CBZ
0376;GR00350500WGSE3;;N/A;CCZ
0519;S608212000M;;DZ;CCZ
0490;HC0149100100063;00;CZ;CCZ
0490;HC0038140080060;10;CZ;CCZ
0400;KPAN8056;;CZ;CCZ
0376;HC0149180180080;06;N/A;CCZ
2760;FB4301035056K24;;CZ;CCZ
0490;SS35M0040BBPK;14;AY;AAY
2316;KRN355614223C1E;;N/A;CCZ
0860;KRN033704013CRD;;N/A;CCZ
0828;CDI003701937;;CZ;CCZ
0377;HW0576250150125;08;N/A;CCZ
0376;KRN0213020D;;N/A;CCZ
0677;KRN419070016MOE;;N/A;CCZ
0713;FB0122110012B;04;N/A;CCZ
0830;S400H004020Q;40;N/A;CCZ
2316;HC0547200120040;11;N/A;CCZ
0410;KRN133005016MOE;;N/A;CCZ
0490;RB713106000;;N/A;CCZ
3100;HC0547200200060;09;AY;AAY
0305;HC0547180100100;04;N/A;CCZ
0550;WSPBY71012008;;CZ;CCZ
2760;RB457100200B;;CZ;BCZ
0416;GST1016029;99;DZ;CCZ
0377;PR930200010N05;;N/A;CCZ
0412;S400H006025Q;89;N/A;CCZ
2641;KRN2191160D;;N/A;CCZ
0842;HC0149140080060;05;N/A;CCZ
2316;GST121003651;99;N/A;CCZ
0162;RBPVC150GR01;30;N/A;CCZ
0305;HC0149140080100;08;N/A;CCZ
0162;FB617N01505D;;CZ;CCZ
0490;HC0547500300200;08;N/A;CCZ
0490;SS35M0040M4B;93;BZ;BAZ
0416;KRN406445016MOE;;N/A;CCZ
0490;SDD110050M4BPK;19;BY;CCZ
0305;HW0039050050060;11;N/A;CCZ
0581;KRN457065013CRE;;N/A;CCZ
0641;HC0149150150060;11;N/A;CCZ
0490;SS2350035M4B;92;N/A;CCZ
0701;WITROENSTR040G1;;N/A;CCZ
0376;SH160090080355;12;N/A;CCZ
0162;SO45410081;;N/A;CCZ
0376;GST0603020;00;N/A;CCZ
0305;HC003912006030V;15;N/A;CCZ
0377;HW0576200120142;59;N/A;CCZ
0701;REPE80630252G;;CZ;CCZ
0376;SRG025407610080;12;N/A;CCZ
0631;SS235040M4BPK5T;97;N/A;CCZ
0162;F0RS440401601D;;N/A;CCZ
0162;RB60230280D;;N/A;CCZ
0400;GSKEPDM280F;;N/A;CCZ
0162;EN01400020071A;;N/A;CCZ
0305;HW0576140140160;05;N/A;CCZ
3100;SS3550160Q;40;CZ;CCZ
0641;HW0576080040040;59;N/A;CCZ
2376;HW057612012080G;07;AY;AAY
0377;BEW305040641251;;N/A;CCZ
0305;HC003903503530V;12;N/A;CCZ
0162;SB4541030;;N/A;CCZ
0162;RB430508000BIM;;CZ;CBZ
0490;SS235020015Q;39;CZ;CCZ
2316;HC014902002020P;08;N/A;CCZ
0490;SS355006010BPK;60;CZ;CCZ
0305;HC0547080030030;59;N/A;CCZ
2316;DW05400032;;N/A;CCZ
0376;HW0576050050029;05;N/A;CCZ
0490;S105000300M03;;CZ;CCZ
0305;HW057616009010G;00;N/A;CCZ
0305;HC0547100040040;14;N/A;CCZ
0490;SD4200050BBPK;20;N/A;CCZ
2316;FLJCS00603106;;N/A;CCZ
0853;SS235100020Q;60;BZ;BCZ
0377;SRG025413970032;99;N/A;CCZ
2316;PRN0900050E3C;;N/A;CCZ
0641;HW0576350250125;13;N/A;CCZ
0840;RB012201080B;;N/A;CCZ
0842;KRN159017513CRE;;N/A;CCZ
0550;BLVPPH032G03;;CZ;CCZ
2316;HC0038120100060;09;N/A;CCZ
0400;KS0503012;;N/A;CCZ
2760;S500500150C14;;AZ;AAZ
2316;PRN0250045EC;;N/A;CCZ
0701;KRN159032013CRE;;N/A;CCZ
0631;SS2350050BB;60;AY;AAY
3100;SS235010025Q;40;CZ;CCZ
0701;REPVCL0400200;;N/A;CCZ
0305;HC0149140070050;09;N/A;CCZ
0518;SP6060EUM201387;;N/A;CCZ
0625;ELPVCU025451G;;N/A;CCZ
0677;KRN368080013CRE;;N/A;CCZ
0631;PLUSFB065;;CZ;CCZ
0411;VBL073050;;CZ;CCZ
3100;HC0547200120060;12;BX;AAY
0305;HC0547180180060;08;N/A;CCZ
0305;DW0825003635502;;N/A;CCZ
0411;TH25140240C;;N/A;CCZ
0305;HC0547180100080;99;N/A;CCZ
2316;HC0149180060050;99;CZ;CCZ
3100;SS69Q0150Q;39;BZ;CCZ
3100;ZRN0500050H802;;CZ;ABZ
0490;SS235003010B;00;CZ;CCZ
0613;S450H010020Q;79;N/A;CCZ
0376;HW0576180180063;13;N/A;CCZ
0860;SS2350050M6B;30;AZ;AAZ
2316;HC0547200200063;99;N/A;CCZ
0480;S105000300C03;;BZ;BBZ
0305;MPF35300;;N/A;CCZ
2316;RENISA022157;;N/A;CCZ
0441;FZBPM8040712000;99;CZ;CCZ
0550;KRN033702613CR1;;CZ;CCZ
0305;BEMIG080903N;;N/A;CCZ
0305;HW0039080040032;10;N/A;CCZ
0305;HPL0250025ENBL;;N/A;CCZ
0490;SR2500150B;25;N/A;CCZ
0376;HW0576160090088;06;N/A;CCZ
0840;SRG025407610029;06;N/A;CCZ
0631;KRN368022213CRE;;N/A;CCZ
0830;FB0122040006B;03;CZ;CCZ
