# id	formula	cells	expected
# expected: n:<num> s:<text> b:true|false e:NAME|VALUE|DIV|NUM|NA|REF  implemented
# generated from mog compute-functions names + seed eval cases. Re-run extract-mog-formula-cases.py
MOG.smoke.BETA.DIST	=BETA.DIST()		implemented
MOG.smoke.BETA.INV	=BETA.INV()		implemented
MOG.smoke.BETADIST	=BETADIST()		implemented
MOG.smoke.BETAINV	=BETAINV()		implemented
MOG.smoke.BIN2DEC	=BIN2DEC()		implemented
MOG.smoke.BIN2HEX	=BIN2HEX()		implemented
MOG.smoke.BIN2OCT	=BIN2OCT()		implemented
MOG.smoke.BINOM.DIST	=BINOM.DIST()		implemented
MOG.smoke.BINOM.DIST.RANGE	=BINOM.DIST.RANGE()		implemented
MOG.smoke.BINOM.INV	=BINOM.INV()		implemented
MOG.smoke.BINOMDIST	=BINOMDIST()		implemented
MOG.smoke.BITAND	=BITAND()		implemented
MOG.smoke.BITLSHIFT	=BITLSHIFT()		implemented
MOG.smoke.BITOR	=BITOR()		implemented
MOG.smoke.BITRSHIFT	=BITRSHIFT()		implemented
MOG.smoke.BITXOR	=BITXOR()		implemented
MOG.smoke.CEILING	=CEILING()		implemented
MOG.smoke.CEILING.MATH	=CEILING.MATH()		implemented
MOG.smoke.CEILING.PRECISE	=CEILING.PRECISE()		implemented
MOG.smoke.CELL	=CELL()		implemented
MOG.smoke.CHAR	=CHAR()		implemented
MOG.smoke.CHIDIST	=CHIDIST()		implemented
MOG.smoke.CHIINV	=CHIINV()		implemented
MOG.smoke.CHISQ.DIST	=CHISQ.DIST()		implemented
MOG.smoke.CHISQ.DIST.RT	=CHISQ.DIST.RT()		implemented
MOG.smoke.CHISQ.INV	=CHISQ.INV()		implemented
MOG.smoke.CHISQ.INV.RT	=CHISQ.INV.RT()		implemented
MOG.smoke.CHISQ.TEST	=CHISQ.TEST()		implemented
MOG.smoke.CHITEST	=CHITEST()		implemented
MOG.smoke.CHOOSE	=CHOOSE()		implemented
MOG.smoke.CHOOSECOLS	=CHOOSECOLS()		implemented
MOG.smoke.CHOOSEROWS	=CHOOSEROWS()		implemented
MOG.smoke.CLEAN	=CLEAN()		implemented
MOG.smoke.CODE	=CODE()		implemented
MOG.smoke.COMBIN	=COMBIN()		implemented
MOG.smoke.COMBINA	=COMBINA()		implemented
MOG.smoke.COMPLEX	=COMPLEX()		implemented
MOG.smoke.CONCAT	=CONCAT()		implemented
MOG.smoke.CONCATENATE	=CONCATENATE()		implemented
MOG.smoke.CONFIDENCE	=CONFIDENCE()		implemented
MOG.smoke.CONFIDENCE.NORM	=CONFIDENCE.NORM()		implemented
MOG.smoke.CONFIDENCE.T	=CONFIDENCE.T()		implemented
MOG.smoke.CONVERT	=CONVERT()		implemented
MOG.smoke.CORREL	=CORREL()		implemented
MOG.smoke.COT	=COT()		implemented
MOG.smoke.COTH	=COTH()		implemented
MOG.smoke.COUNTBLANK	=COUNTBLANK()		implemented
MOG.smoke.COUNTIF	=COUNTIF()		implemented
MOG.smoke.COUNTIFS	=COUNTIFS()		implemented
MOG.smoke.COUPDAYBS	=COUPDAYBS()		implemented
MOG.smoke.COUPDAYS	=COUPDAYS()		implemented
MOG.smoke.COUPDAYSNC	=COUPDAYSNC()		implemented
MOG.smoke.COUPNCD	=COUPNCD()		implemented
MOG.smoke.COUPNUM	=COUPNUM()		implemented
MOG.smoke.COUPPCD	=COUPPCD()		implemented
MOG.smoke.COVAR	=COVAR()		implemented
MOG.smoke.COVARIANCE.P	=COVARIANCE.P()		implemented
MOG.smoke.COVARIANCE.S	=COVARIANCE.S()		implemented
MOG.smoke.CRITBINOM	=CRITBINOM()		implemented
MOG.smoke.CSC	=CSC()		implemented
MOG.smoke.CSCH	=CSCH()		implemented
MOG.smoke.CUMIPMT	=CUMIPMT()		implemented
MOG.smoke.CUMPRINC	=CUMPRINC()		implemented
MOG.smoke.DATE	=DATE()		implemented
MOG.smoke.DATEDIF	=DATEDIF()		implemented
MOG.smoke.DATEVALUE	=DATEVALUE()		implemented
MOG.smoke.DAVERAGE	=DAVERAGE()		implemented
MOG.smoke.DAY	=DAY()		implemented
MOG.smoke.DAYS	=DAYS()		implemented
MOG.smoke.DAYS360	=DAYS360()		implemented
MOG.smoke.DB	=DB()		implemented
MOG.smoke.DBCS	=DBCS()		implemented
MOG.smoke.DCOUNT	=DCOUNT()		implemented
MOG.smoke.DCOUNTA	=DCOUNTA()		implemented
MOG.smoke.DDB	=DDB()		implemented
MOG.smoke.DEC2BIN	=DEC2BIN()		implemented
MOG.smoke.DEC2HEX	=DEC2HEX()		implemented
MOG.smoke.DEC2OCT	=DEC2OCT()		implemented
MOG.smoke.DECIMAL	=DECIMAL()		implemented
MOG.smoke.DELTA	=DELTA()		implemented
MOG.smoke.DEVSQ	=DEVSQ()		implemented
MOG.smoke.DGET	=DGET()		implemented
MOG.smoke.DISC	=DISC()		implemented
MOG.smoke.DMAX	=DMAX()		implemented
MOG.smoke.DMIN	=DMIN()		implemented
MOG.smoke.DOLLAR	=DOLLAR()		implemented
MOG.smoke.DOLLARDE	=DOLLARDE()		implemented
MOG.smoke.DOLLARFR	=DOLLARFR()		implemented
MOG.smoke.DPRODUCT	=DPRODUCT()		implemented
MOG.smoke.DROP	=DROP()		implemented
MOG.smoke.DSTDEV	=DSTDEV()		implemented
MOG.smoke.DSTDEVP	=DSTDEVP()		implemented
MOG.smoke.DSUM	=DSUM()		implemented
MOG.smoke.DURATION	=DURATION()		implemented
MOG.smoke.DVAR	=DVAR()		implemented
MOG.smoke.DVARP	=DVARP()		implemented
MOG.smoke.EDATE	=EDATE()		implemented
MOG.smoke.EFFECT	=EFFECT()		implemented
MOG.smoke.ENCODEURL	=ENCODEURL()		implemented
MOG.smoke.EOMONTH	=EOMONTH()		implemented
MOG.smoke.EPOCHTODATE	=EPOCHTODATE()		implemented
MOG.smoke.ERF	=ERF()		implemented
MOG.smoke.ERF.PRECISE	=ERF.PRECISE()		implemented
MOG.smoke.ERFC	=ERFC()		implemented
MOG.smoke.ERFC.PRECISE	=ERFC.PRECISE()		implemented
MOG.smoke.ERROR.TYPE	=ERROR.TYPE()		implemented
MOG.smoke.EUROCONVERT	=EUROCONVERT()		implemented
MOG.smoke.EVEN	=EVEN()		implemented
MOG.smoke.EXACT	=EXACT()		implemented
MOG.smoke.EXP	=EXP()		implemented
MOG.smoke.EXPAND	=EXPAND()		implemented
MOG.smoke.EXPON.DIST	=EXPON.DIST()		implemented
MOG.smoke.EXPONDIST	=EXPONDIST()		implemented
MOG.smoke.F.DIST	=F.DIST()		implemented
MOG.smoke.F.DIST.RT	=F.DIST.RT()		implemented
MOG.smoke.F.INV	=F.INV()		implemented
MOG.smoke.F.INV.RT	=F.INV.RT()		implemented
MOG.smoke.F.TEST	=F.TEST()		implemented
MOG.smoke.FACT	=FACT()		implemented
MOG.smoke.FACTDOUBLE	=FACTDOUBLE()		implemented
MOG.smoke.FALSE	=FALSE()		implemented
MOG.smoke.FDIST	=FDIST()		implemented
MOG.smoke.FILTER	=FILTER()		implemented
MOG.smoke.FIND	=FIND()		implemented
MOG.smoke.FINDB	=FINDB()		implemented
MOG.smoke.FINV	=FINV()		implemented
MOG.smoke.FISHER	=FISHER()		implemented
MOG.smoke.FISHERINV	=FISHERINV()		implemented
MOG.smoke.FIXED	=FIXED()		implemented
MOG.smoke.FLATTEN	=FLATTEN()		implemented
MOG.smoke.FLOOR	=FLOOR()		implemented
MOG.smoke.FLOOR.MATH	=FLOOR.MATH()		implemented
MOG.smoke.FLOOR.PRECISE	=FLOOR.PRECISE()		implemented
MOG.smoke.FORECAST	=FORECAST()		implemented
MOG.smoke.FORECAST.LINEAR	=FORECAST.LINEAR()		implemented
MOG.smoke.FREQUENCY	=FREQUENCY()		implemented
MOG.smoke.FTEST	=FTEST()		implemented
MOG.smoke.FV	=FV()		implemented
MOG.smoke.FVSCHEDULE	=FVSCHEDULE()		implemented
MOG.smoke.GAMMA	=GAMMA()		implemented
MOG.smoke.GAMMA.DIST	=GAMMA.DIST()		implemented
MOG.smoke.GAMMA.INV	=GAMMA.INV()		implemented
MOG.smoke.GAMMADIST	=GAMMADIST()		implemented
MOG.smoke.GAMMAINV	=GAMMAINV()		implemented
MOG.smoke.GAMMALN	=GAMMALN()		implemented
MOG.smoke.GAMMALN.PRECISE	=GAMMALN.PRECISE()		implemented
MOG.smoke.GAUSS	=GAUSS()		implemented
MOG.smoke.GCD	=GCD()		implemented
MOG.smoke.GEOMEAN	=GEOMEAN()		implemented
MOG.smoke.GESTEP	=GESTEP()		implemented
MOG.smoke.GROWTH	=GROWTH()		implemented
MOG.smoke.HARMEAN	=HARMEAN()		implemented
MOG.smoke.HEX2BIN	=HEX2BIN()		implemented
MOG.smoke.HEX2DEC	=HEX2DEC()		implemented
MOG.smoke.HEX2OCT	=HEX2OCT()		implemented
MOG.smoke.HOUR	=HOUR()		implemented
MOG.smoke.HSTACK	=HSTACK()		implemented
MOG.smoke.HYPERLINK	=HYPERLINK()		implemented
MOG.smoke.HYPGEOM.DIST	=HYPGEOM.DIST()		implemented
MOG.smoke.HYPGEOMDIST	=HYPGEOMDIST()		implemented
MOG.smoke.IMAGE	=IMAGE()		implemented
MOG.smoke.IMARGUMENT	=IMARGUMENT()		implemented
MOG.smoke.IMDIV	=IMDIV()		implemented
MOG.smoke.IMPOWER	=IMPOWER()		implemented
MOG.smoke.IMPRODUCT	=IMPRODUCT()		implemented
MOG.smoke.IMSUB	=IMSUB()		implemented
MOG.smoke.IMSUM	=IMSUM()		implemented
MOG.smoke.INFO	=INFO()		implemented
MOG.smoke.INTERCEPT	=INTERCEPT()		implemented
MOG.smoke.INTRATE	=INTRATE()		implemented
MOG.smoke.IPMT	=IPMT()		implemented
MOG.smoke.IRR	=IRR()		implemented
MOG.smoke.ISBETWEEN	=ISBETWEEN()		implemented
MOG.smoke.ISBLANK	=ISBLANK()		implemented
MOG.smoke.ISDATE	=ISDATE()		implemented
MOG.smoke.ISEMAIL	=ISEMAIL()		implemented
MOG.smoke.ISERR	=ISERR()		implemented
MOG.smoke.ISERROR	=ISERROR()		implemented
MOG.smoke.ISEVEN	=ISEVEN()		implemented
MOG.smoke.ISLOGICAL	=ISLOGICAL()		implemented
MOG.smoke.ISNA	=ISNA()		implemented
MOG.smoke.ISNONTEXT	=ISNONTEXT()		implemented
MOG.smoke.ISNUMBER	=ISNUMBER()		implemented
MOG.smoke.ISO.CEILING	=ISO.CEILING()		implemented
MOG.smoke.ISODD	=ISODD()		implemented
MOG.smoke.ISOWEEKNUM	=ISOWEEKNUM()		implemented
MOG.smoke.ISPMT	=ISPMT()		implemented
MOG.smoke.ISREF	=ISREF()		implemented
MOG.smoke.ISTEXT	=ISTEXT()		implemented
MOG.smoke.ISURL	=ISURL()		implemented
MOG.smoke.JIS	=JIS()		implemented
MOG.smoke.JOIN	=JOIN()		implemented
MOG.smoke.KURT	=KURT()		implemented
MOG.smoke.LARGE	=LARGE()		implemented
MOG.smoke.LCM	=LCM()		implemented
MOG.smoke.LEFT	=LEFT()		implemented
MOG.smoke.LEFTB	=LEFTB()		implemented
MOG.smoke.LEN	=LEN()		implemented
MOG.smoke.LENB	=LENB()		implemented
MOG.smoke.LINEST	=LINEST()		implemented
MOG.smoke.LN	=LN()		implemented
MOG.smoke.LOG	=LOG()		implemented
MOG.smoke.LOG10	=LOG10()		implemented
MOG.smoke.LOGEST	=LOGEST()		implemented
MOG.smoke.LOGINV	=LOGINV()		implemented
MOG.smoke.LOGNORM.DIST	=LOGNORM.DIST()		implemented
MOG.smoke.LOGNORM.INV	=LOGNORM.INV()		implemented
MOG.smoke.LOGNORMDIST	=LOGNORMDIST()		implemented
MOG.smoke.LOOKUP	=LOOKUP()		implemented
MOG.smoke.LOWER	=LOWER()		implemented
MOG.smoke.MAXA	=MAXA()		implemented
MOG.smoke.MAXIFS	=MAXIFS()		implemented
MOG.smoke.MDETERM	=MDETERM()		implemented
MOG.smoke.MDURATION	=MDURATION()		implemented
MOG.smoke.MEDIAN	=MEDIAN()		implemented
MOG.smoke.MID	=MID()		implemented
MOG.smoke.MIDB	=MIDB()		implemented
MOG.smoke.MINA	=MINA()		implemented
MOG.smoke.MINIFS	=MINIFS()		implemented
MOG.smoke.MINUTE	=MINUTE()		implemented
MOG.smoke.MINVERSE	=MINVERSE()		implemented
MOG.smoke.MIRR	=MIRR()		implemented
MOG.smoke.MMULT	=MMULT()		implemented
MOG.smoke.MOD	=MOD()		implemented
MOG.smoke.MODE	=MODE()		implemented
MOG.smoke.MODE.MULT	=MODE.MULT()		implemented
MOG.smoke.MODE.SNGL	=MODE.SNGL()		implemented
MOG.smoke.MONTH	=MONTH()		implemented
MOG.smoke.MROUND	=MROUND()		implemented
MOG.smoke.MULTINOMIAL	=MULTINOMIAL()		implemented
MOG.smoke.MUNIT	=MUNIT()		implemented
MOG.smoke.NA	=NA()		implemented
MOG.smoke.NEGBINOM.DIST	=NEGBINOM.DIST()		implemented
MOG.smoke.NEGBINOMDIST	=NEGBINOMDIST()		implemented
MOG.smoke.NETWORKDAYS	=NETWORKDAYS()		implemented
MOG.smoke.NETWORKDAYS.INTL	=NETWORKDAYS.INTL()		implemented
MOG.smoke.NOMINAL	=NOMINAL()		implemented
MOG.smoke.NORM.DIST	=NORM.DIST()		implemented
MOG.smoke.NORM.INV	=NORM.INV()		implemented
MOG.smoke.NORM.S.DIST	=NORM.S.DIST()		implemented
MOG.smoke.NORM.S.INV	=NORM.S.INV()		implemented
MOG.smoke.NORMDIST	=NORMDIST()		implemented
MOG.smoke.NORMINV	=NORMINV()		implemented
MOG.smoke.NORMSDIST	=NORMSDIST()		implemented
MOG.smoke.NORMSINV	=NORMSINV()		implemented
MOG.smoke.NPER	=NPER()		implemented
MOG.smoke.NPV	=NPV()		implemented
MOG.smoke.NUMBERVALUE	=NUMBERVALUE()		implemented
MOG.smoke.OCT2BIN	=OCT2BIN()		implemented
MOG.smoke.OCT2DEC	=OCT2DEC()		implemented
MOG.smoke.OCT2HEX	=OCT2HEX()		implemented
MOG.smoke.ODD	=ODD()		implemented
MOG.smoke.PDURATION	=PDURATION()		implemented
MOG.smoke.PEARSON	=PEARSON()		implemented
MOG.smoke.PERCENTILE	=PERCENTILE()		implemented
MOG.smoke.PERCENTILE.EXC	=PERCENTILE.EXC()		implemented
MOG.smoke.PERCENTILE.INC	=PERCENTILE.INC()		implemented
MOG.smoke.PERCENTOF	=PERCENTOF()		implemented
MOG.smoke.PERCENTRANK	=PERCENTRANK()		implemented
MOG.smoke.PERCENTRANK.EXC	=PERCENTRANK.EXC()		implemented
MOG.smoke.PERCENTRANK.INC	=PERCENTRANK.INC()		implemented
MOG.smoke.PERMUT	=PERMUT()		implemented
MOG.smoke.PERMUTATIONA	=PERMUTATIONA()		implemented
MOG.smoke.PHI	=PHI()		implemented
MOG.smoke.PHONETIC	=PHONETIC()		implemented
MOG.smoke.PI	=PI()		implemented
MOG.smoke.PMT	=PMT()		implemented
MOG.smoke.POISSON	=POISSON()		implemented
MOG.smoke.POISSON.DIST	=POISSON.DIST()		implemented
MOG.smoke.POWER	=POWER()		implemented
MOG.smoke.PPMT	=PPMT()		implemented
MOG.smoke.PRICE	=PRICE()		implemented
MOG.smoke.PRICEDISC	=PRICEDISC()		implemented
MOG.smoke.PRICEMAT	=PRICEMAT()		implemented
MOG.smoke.PROB	=PROB()		implemented
MOG.smoke.PRODUCT	=PRODUCT()		implemented
MOG.smoke.PROPER	=PROPER()		implemented
MOG.smoke.PV	=PV()		implemented
MOG.smoke.QUARTILE	=QUARTILE()		implemented
MOG.smoke.QUARTILE.EXC	=QUARTILE.EXC()		implemented
MOG.smoke.QUARTILE.INC	=QUARTILE.INC()		implemented
MOG.smoke.QUOTIENT	=QUOTIENT()		implemented
MOG.smoke.RAND	=RAND()		implemented
MOG.smoke.RANDARRAY	=RANDARRAY()		implemented
MOG.smoke.RANDBETWEEN	=RANDBETWEEN()		implemented
MOG.smoke.RANK	=RANK()		implemented
MOG.smoke.RANK.AVG	=RANK.AVG()		implemented
MOG.smoke.RANK.EQ	=RANK.EQ()		implemented
MOG.smoke.RATE	=RATE()		implemented
MOG.smoke.RECEIVED	=RECEIVED()		implemented
MOG.smoke.REGEXEXTRACT	=REGEXEXTRACT()		implemented
MOG.smoke.REGEXMATCH	=REGEXMATCH()		implemented
MOG.smoke.REGEXREPLACE	=REGEXREPLACE()		implemented
MOG.smoke.REGEXTEST	=REGEXTEST()		implemented
MOG.smoke.REPLACE	=REPLACE()		implemented
MOG.smoke.REPLACEB	=REPLACEB()		implemented
MOG.smoke.REPT	=REPT()		implemented
MOG.smoke.RIGHT	=RIGHT()		implemented
MOG.smoke.RIGHTB	=RIGHTB()		implemented
MOG.smoke.ROMAN	=ROMAN()		implemented
MOG.smoke.ROUND	=ROUND()		implemented
MOG.smoke.ROUNDDOWN	=ROUNDDOWN()		implemented
MOG.smoke.ROUNDUP	=ROUNDUP()		implemented
MOG.smoke.RRI	=RRI()		implemented
MOG.smoke.RSQ	=RSQ()		implemented
MOG.smoke.SEARCH	=SEARCH()		implemented
MOG.smoke.SEARCHB	=SEARCHB()		implemented
MOG.smoke.SEC	=SEC()		implemented
MOG.smoke.SECH	=SECH()		implemented
MOG.smoke.SECOND	=SECOND()		implemented
MOG.smoke.SEQUENCE	=SEQUENCE()		implemented
MOG.smoke.SERIESSUM	=SERIESSUM()		implemented
MOG.smoke.SHEET	=SHEET()		implemented
MOG.smoke.SHEETS	=SHEETS()		implemented
MOG.smoke.SKEW	=SKEW()		implemented
MOG.smoke.SKEW.P	=SKEW.P()		implemented
MOG.smoke.SLN	=SLN()		implemented
MOG.smoke.SLOPE	=SLOPE()		implemented
MOG.smoke.SMALL	=SMALL()		implemented
MOG.smoke.SORT	=SORT()		implemented
MOG.smoke.SORTBY	=SORTBY()		implemented
MOG.smoke.SORTN	=SORTN()		implemented
MOG.smoke.SPLIT	=SPLIT()		implemented
MOG.smoke.SQRT	=SQRT()		implemented
MOG.smoke.SQRTPI	=SQRTPI()		implemented
MOG.smoke.STANDARDIZE	=STANDARDIZE()		implemented
MOG.smoke.STDEV	=STDEV()		implemented
MOG.smoke.STDEV.P	=STDEV.P()		implemented
MOG.smoke.STDEV.S	=STDEV.S()		implemented
MOG.smoke.STDEVA	=STDEVA()		implemented
MOG.smoke.STDEVP	=STDEVP()		implemented
MOG.smoke.STDEVPA	=STDEVPA()		implemented
MOG.smoke.STEYX	=STEYX()		implemented
MOG.smoke.SUBSTITUTE	=SUBSTITUTE()		implemented
MOG.smoke.SUMIF	=SUMIF()		implemented
MOG.smoke.SUMIFS	=SUMIFS()		implemented
MOG.smoke.SUMSQ	=SUMSQ()		implemented
MOG.smoke.SUMX2MY2	=SUMX2MY2()		implemented
MOG.smoke.SUMX2PY2	=SUMX2PY2()		implemented
MOG.smoke.SUMXMY2	=SUMXMY2()		implemented
MOG.smoke.SWITCH	=SWITCH()		implemented
MOG.smoke.SYD	=SYD()		implemented
MOG.smoke.T.DIST	=T.DIST()		implemented
MOG.smoke.T.DIST.2T	=T.DIST.2T()		implemented
MOG.smoke.T.DIST.RT	=T.DIST.RT()		implemented
MOG.smoke.T.INV	=T.INV()		implemented
MOG.smoke.T.INV.2T	=T.INV.2T()		implemented
MOG.smoke.T.TEST	=T.TEST()		implemented
MOG.smoke.TAKE	=TAKE()		implemented
MOG.smoke.TAN	=TAN()		implemented
MOG.smoke.TBILLEQ	=TBILLEQ()		implemented
MOG.smoke.TBILLPRICE	=TBILLPRICE()		implemented
MOG.smoke.TBILLYIELD	=TBILLYIELD()		implemented
MOG.smoke.TDIST	=TDIST()		implemented
MOG.smoke.TEXT	=TEXT()		implemented
MOG.smoke.TEXTAFTER	=TEXTAFTER()		implemented
MOG.smoke.TEXTBEFORE	=TEXTBEFORE()		implemented
MOG.smoke.TEXTJOIN	=TEXTJOIN()		implemented
MOG.smoke.TEXTSPLIT	=TEXTSPLIT()		implemented
MOG.smoke.TIME	=TIME()		implemented
MOG.smoke.TIMEVALUE	=TIMEVALUE()		implemented
MOG.smoke.TINV	=TINV()		implemented
MOG.smoke.TOCOL	=TOCOL()		implemented
MOG.smoke.TOROW	=TOROW()		implemented
MOG.smoke.TRANSPOSE	=TRANSPOSE()		implemented
MOG.smoke.TREND	=TREND()		implemented
MOG.smoke.TRIM	=TRIM()		implemented
MOG.smoke.TRIMMEAN	=TRIMMEAN()		implemented
MOG.smoke.TRIMRANGE	=TRIMRANGE()		implemented
MOG.smoke.TRUE	=TRUE()		implemented
MOG.smoke.TRUNC	=TRUNC()		implemented
MOG.smoke.TTEST	=TTEST()		implemented
MOG.smoke.TYPE	=TYPE()		implemented
MOG.smoke.UNICHAR	=UNICHAR()		implemented
MOG.smoke.UNICODE	=UNICODE()		implemented
MOG.smoke.UNIQUE	=UNIQUE()		implemented
MOG.smoke.UPPER	=UPPER()		implemented
MOG.smoke.VALUE	=VALUE()		implemented
MOG.smoke.VALUETOTEXT	=VALUETOTEXT()		implemented
MOG.smoke.VAR	=VAR()		implemented
MOG.smoke.VAR.P	=VAR.P()		implemented
MOG.smoke.VAR.S	=VAR.S()		implemented
MOG.smoke.VARA	=VARA()		implemented
MOG.smoke.VARP	=VARP()		implemented
MOG.smoke.VARPA	=VARPA()		implemented
MOG.smoke.VDB	=VDB()		implemented
MOG.smoke.VSTACK	=VSTACK()		implemented
MOG.smoke.WEEKDAY	=WEEKDAY()		implemented
MOG.smoke.WEEKNUM	=WEEKNUM()		implemented
MOG.smoke.WEIBULL	=WEIBULL()		implemented
MOG.smoke.WEIBULL.DIST	=WEIBULL.DIST()		implemented
MOG.smoke.WORKDAY	=WORKDAY()		implemented
MOG.smoke.WORKDAY.INTL	=WORKDAY.INTL()		implemented
MOG.smoke.WRAPCOLS	=WRAPCOLS()		implemented
MOG.smoke.WRAPROWS	=WRAPROWS()		implemented
MOG.smoke.XIRR	=XIRR()		implemented
MOG.smoke.XLOOKUP	=XLOOKUP()		implemented
MOG.smoke.XMATCH	=XMATCH()		implemented
MOG.smoke.XNPV	=XNPV()		implemented
MOG.smoke.XOR	=XOR()		implemented
MOG.smoke.YEAR	=YEAR()		implemented
MOG.smoke.YEARFRAC	=YEARFRAC()		implemented
MOG.smoke.YIELD	=YIELD()		implemented
MOG.smoke.YIELDDISC	=YIELDDISC()		implemented
MOG.smoke.YIELDMAT	=YIELDMAT()		implemented
MOG.smoke.Z.TEST	=Z.TEST()		implemented
MOG.smoke.ZTEST	=ZTEST()		implemented
COMBIN.5c2	=COMBIN(5,2)		n:10
COMBINA.5c2	=COMBINA(5,2)		n:15
PERMUT.5c2	=PERMUT(5,2)		n:20
PERMUTATIONA.5c2	=PERMUTATIONA(5,2)		n:25
BASE.7b2	=BASE(7,2)		s:111
DECIMAL.ff	=DECIMAL("FF",16)		n:255
ARABIC.xiv	=ARABIC("XIV")		n:14
ROMAN.14	=ROMAN(14)		s:XIV
MULTINOMIAL.234	=MULTINOMIAL(2,3,4)		n:1260
SERIESSUM.2	=SERIESSUM(2,1,1,1)		n:2
ISERR.div	=ISERR(1/0)		b:true
ISERR.na	=ISERR(NA())		b:false
ISNONTEXT.num	=ISNONTEXT(1)		b:true
ISEVEN.2	=ISEVEN(2.9)		b:true
ISODD.3	=ISODD(3.1)		b:true
TYPE.num	=TYPE(42)		n:1
N.true	=N(TRUE)		n:1
ERROR.TYPE.div	=ERROR.TYPE(1/0)		n:2
ISREF.a1	=ISREF(A1)		b:true
BITAND.1and5	=BITAND(1,5)		n:1
BITOR.1or5	=BITOR(1,5)		n:5
BITXOR.1xor5	=BITXOR(1,5)		n:4
BITLSHIFT.2	=BITLSHIFT(2,2)		n:8
BITRSHIFT.8	=BITRSHIFT(8,2)		n:2
BIN2DEC.1010	=BIN2DEC("1010")		n:10
DEC2BIN.10	=DEC2BIN(10)		s:1010
HEX2DEC.ff	=HEX2DEC("FF")		n:255
DEC2HEX.255	=DEC2HEX(255)		s:FF
OCT2DEC.10	=OCT2DEC("10")		n:8
DEC2OCT.8	=DEC2OCT(8)		s:10
BIN2HEX.1010	=BIN2HEX("1010")		s:A
BIN2OCT.1010	=BIN2OCT("1010")		s:12
HEX2BIN.a	=HEX2BIN("A")		s:1010
HEX2OCT.ff	=HEX2OCT("FF")		s:377
OCT2BIN.10	=OCT2BIN("10")		s:1000
OCT2HEX.10	=OCT2HEX("10")		s:8
DELTA.eq	=DELTA(5,5)		n:1
GESTEP.ge	=GESTEP(5,4)		n:1
COMPLEX.3_4	=COMPLEX(3,4)		s:3+4i
UNICHAR.65	=UNICHAR(65)		s:A
UNICODE.A	=UNICODE("A")		n:65
